"","計測時間","2020 / 07 / 01  12:53 - 13:00"
"","コメント1",""
"","コメント2",""
"","コメント3",""
"","フォルダ","Sample_X"
"","試料距離（モニタ）","27.000 [mm]"
"","試料距離（解析）","28.368 [mm]"
"","X線入射角度","18.0 [deg]"

"","残留応力"

"","解析条件" 1,"σx",---,"標準偏差",---
"","","τxy",---,"標準偏差",---


"","半価幅"

"","解析条件" 1,"半価幅",---


"","残留オーステナイト"

"","解析条件" 1,"γRi",24.5 [%]

"","残留オーステナイト",,,,,,,,
"","α","γRi","γR （ピーク強度）","積分強度 α","積分強度 γ","ピーク強度 α","ピーク強度 γ","半価幅 α","半価幅 γ"
"","92.88","25.0","35.0","193812.2","54602.4","142200.9","60312.8","6.66","2.14"
"","93.60","25.3","35.2","192530.4","55069.9","141374.4","60546.2","6.66","2.15"
"","94.32","25.5","35.4","191043.7","55423.8","140474.4","60720.8","6.65","2.15"
"","95.04","25.7","35.6","189513.7","55631.4","139610.7","60884.4","6.64","2.16"
"","95.76","25.9","35.7","188117.3","55679.9","138894.7","61024.6","6.62","2.15"
"","96.48","25.9","35.8","187011.0","55603.2","138418.5","61195.2","6.61","2.15"
"","97.20","26.0","36.0","186293.5","55476.0","138237.2","61457.0","6.59","2.13"
"","97.92","26.0","36.1","185984.1","55388.6","138361.3","61849.4","6.57","2.11"
"","98.64","26.0","36.2","186009.2","55413.9","138741.6","62373.6","6.55","2.10"
"","99.36","26.0","36.3","186234.1","55581.3","139284.0","62974.9","6.54","2.08"
"","100.08","26.1","36.4","186492.3","55858.3","139857.5","63576.1","6.52","2.07"
"","100.80","26.2","36.5","186627.2","56188.7","140325.0","64056.7","6.50","2.07"
"","101.52","26.3","36.6","186559.8","56496.8","140588.8","64364.1","6.49","2.07"
"","102.24","26.4","36.6","186295.4","56676.2","140610.5","64362.0","6.48","2.08"
"","102.96","26.4","36.5","185938.8","56648.7","140413.6","64005.2","6.47","2.09"
"","103.68","26.3","36.3","185653.7","56368.5","140084.0","63304.1","6.48","2.10"
"","104.40","26.2","36.1","185601.5","55851.7","139732.2","62416.4","6.49","2.11"
"","105.12","25.9","35.8","185890.5","55126.8","139457.5","61424.1","6.52","2.12"
"","105.84","25.6","35.4","186533.9","54244.4","139314.6","60451.5","6.55","2.12"
"","106.56","25.2","35.2","187451.9","53270.9","139306.5","59625.2","6.58","2.11"
"","107.28","24.7","34.9","188481.1","52257.5","139389.2","58931.8","6.61","2.09"
"","108.00","24.3","34.7","189427.8","51266.2","139483.4","58365.5","6.64","2.07"
"","108.72","24.0","34.5","190086.4","50365.0","139502.4","57896.9","6.66","2.05"
"","109.44","23.7","34.4","190303.0","49624.5","139387.8","57509.9","6.68","2.04"
"","110.16","23.6","34.3","190021.8","49081.9","139124.0","57191.1","6.68","2.03"
"","110.88","23.5","34.3","189289.6","48754.8","138761.1","56939.5","6.67","2.02"
"","111.60","23.6","34.3","188231.0","48622.5","138374.6","56748.0","6.65","2.02"
"","112.32","23.7","34.3","187013.9","48656.5","138068.9","56607.8","6.62","2.03"
"","113.04","23.8","34.3","185764.8","48806.1","137876.3","56509.3","6.59","2.04"
"","113.76","24.0","34.3","184582.9","49024.4","137778.3","56451.5","6.55","2.05"
"","114.48","24.2","34.3","183538.2","49280.4","137717.8","56443.8","6.52","2.06"
"","115.20","24.4","34.3","182657.0","49528.9","137654.8","56494.8","6.49","2.07"
"","115.92","24.3","34.3","182479.8","49440.3","137725.3","56444.0","6.48","2.07"
"","116.64","24.2","34.2","182634.4","49152.2","137741.2","56406.7","6.48","2.06"
"","117.36","24.1","34.3","182800.8","48801.5","137589.5","56470.1","6.50","2.04"
"","118.08","24.1","34.5","182312.3","48726.9","137041.1","56822.7","6.50","2.02"
"","118.80","24.2","34.8","181342.3","48847.1","136247.8","57370.5","6.51","2.01"
"","119.52","24.3","35.1","180643.1","48812.5","135603.4","57825.4","6.51","1.99"
"","120.24","24.3","35.2","180334.4","48602.1","135219.2","58109.7","6.52","1.97"
"","120.96","24.1","35.3","180596.5","48176.7","135195.9","58142.9","6.53","1.96"
"","121.68","23.9","35.2","180969.2","47801.0","135325.6","58084.6","6.54","1.94"
"","122.40","23.8","35.1","181407.9","47517.2","135545.7","57987.6","6.54","1.93"
"","123.12","23.7","35.1","181869.9","47358.7","135778.4","57907.9","6.55","1.93"
"","123.84","23.6","35.0","182317.6","47339.4","135946.8","57877.9","6.56","1.93"
"","124.56","23.6","35.0","182719.7","47449.7","135998.7","57901.0","6.57","1.93"
"","125.28","23.7","35.1","183068.3","47649.0","135917.2","57927.2","6.59","1.94"
"","126.00","23.7","35.1","183384.5","47899.5","135729.1","57950.0","6.61","1.95"
"","126.72","23.8","35.1","183706.7","48130.8","135493.8","57877.6","6.63","1.96"
"","127.44","23.8","35.1","184087.8","48280.0","135290.1","57680.0","6.65","1.98"
"","128.16","23.8","35.0","184579.9","48290.5","135205.3","57348.7","6.67","1.99"
"","128.88","23.6","34.8","185244.1","48128.8","135309.7","56909.7","6.69","2.00"
"","129.60","23.5","34.6","186125.4","47796.0","135655.2","56412.8","6.71","2.00"
"","130.32","23.2","34.3","187235.2","47340.3","136251.4","55918.1","6.72","2.00"
"","131.04","22.9","34.0","188501.6","46822.7","137057.7","55472.8","6.72","1.99"
"","131.76","22.6","33.7","189774.3","46313.0","137988.4","55095.9","6.72","1.98"
"","132.48","22.4","33.5","190864.6","45862.3","138925.6","54754.2","6.72","1.98"
"","133.20","22.2","33.2","191576.9","45488.8","139764.8","54407.1","6.70","1.97"
"","133.92","22.1","33.0","191781.0","45179.5","140422.6","54002.7","6.68","1.98"
"","134.64","22.0","32.7","191436.7","44915.8","140864.2","53526.6","6.64","1.98"
"","135.36","22.0","32.5","190611.1","44658.0","141091.4","52995.0","6.61","1.99"
"","136.08","22.0","32.3","189419.6","44385.2","141130.9","52440.3","6.56","2.00"
"","136.80","22.0","32.1","188026.5","44112.8","141016.6","51997.2","6.52","2.00"
"","137.52","22.0","32.0","186612.2","43843.5","140793.4","51632.8","6.48","2.00"
"","138.24","22.1","32.0","185326.7","43600.8","140498.5","51347.7","6.45","2.00"
"","138.96","22.1","31.9","184261.3","43413.1","140154.0","51112.9","6.43","2.01"
"","139.68","22.1","31.9","183446.4","43306.5","139777.8","50892.0","6.42","2.01"
"","140.40","22.2","31.8","182867.2","43292.5","139396.5","50665.1","6.41","2.02"
"","141.12","22.2","31.8","182479.1","43359.2","138991.6","50428.0","6.42","2.03"
"","141.84","22.3","31.8","182246.4","43472.8","138555.4","50184.1","6.43","2.05"
"","142.56","22.3","31.8","182156.9","43615.6","138104.7","50002.1","6.45","2.06"
"","143.28","22.4","31.8","182205.2","43782.6","137670.1","49936.2","6.47","2.07"
"","144.00","22.5","31.9","182378.9","43981.0","137282.6","50008.7","6.50","2.08"
"","144.72","22.5","32.0","182661.5","44238.0","136978.6","50296.3","6.52","2.08"
"","145.44","22.6","32.2","183042.4","44555.7","136785.6","50731.0","6.54","2.07"
"","146.16","22.7","32.5","183516.4","44921.9","136715.6","51272.1","6.56","2.07"
"","146.88","22.8","32.7","184068.3","45295.9","136762.9","51844.9","6.58","2.06"
"","147.60","22.8","32.9","184654.7","45625.2","136891.8","52355.8","6.60","2.06"
"","148.32","22.9","33.0","185210.3","45847.1","137048.9","52717.4","6.61","2.05"
"","149.04","22.9","33.0","185664.2","45911.9","137158.4","52859.9","6.62","2.05"
"","149.76","22.8","33.0","185938.8","45792.5","137154.5","52753.2","6.63","2.05"
"","150.48","22.7","32.9","185971.8","45510.0","136993.7","52425.4","6.64","2.05"
"","151.20","22.6","32.7","185731.9","45126.0","136681.2","51936.3","6.64","2.05"
"","151.92","22.5","32.6","185238.4","44733.0","136282.9","51369.6","6.65","2.06"
"","152.64","22.4","32.4","184535.9","44416.1","135827.1","50808.7","6.64","2.06"
"","153.36","22.4","32.3","183724.0","44257.5","135366.8","50323.6","6.64","2.08"
"","154.08","22.5","32.2","182906.3","44318.3","134934.7","49933.9","6.63","2.10"
"","154.80","22.7","32.1","182164.9","44587.5","134542.1","49646.2","6.62","2.12"
"","155.52","22.9","32.1","181559.3","45035.0","134205.2","49441.3","6.61","2.15"
"","156.24","23.1","32.1","181107.1","45572.4","133929.3","49290.0","6.61","2.18"
"","156.96","23.3","32.1","180805.0","46111.8","133696.7","49143.2","6.61","2.22"
"","157.68","23.5","32.0","180667.0","46544.9","133572.9","48958.0","6.61","2.24"
"","158.40","23.6","31.9","180685.2","46811.9","133551.3","48696.7","6.61","2.27"
"","159.12","23.6","31.8","180863.3","46858.0","133662.5","48353.1","6.62","2.29"
"","159.84","23.5","31.6","181198.6","46692.3","133922.9","47947.2","6.62","2.30"
"","160.56","23.4","31.3","181676.7","46362.3","134344.3","47519.3","6.61","2.30"
"","161.28","23.2","31.1","182252.6","45940.0","134877.1","47148.7","6.61","2.30"
"","162.00","22.9","30.9","182856.4","45486.0","135451.2","46872.7","6.60","2.29"
"","162.72","22.7","30.8","183414.1","45064.1","135984.6","46732.6","6.59","2.28"
"","163.44","22.6","30.7","183878.8","44709.4","136413.3","46719.6","6.59","2.26"
"","164.16","22.5","30.7","184265.3","44463.0","136728.2","46836.8","6.59","2.24"
"","164.88","22.4","30.7","184585.9","44335.9","136899.4","47007.8","6.59","2.23"
"","165.60","22.4","30.8","184888.4","44323.9","136961.3","47201.8","6.60","2.22"
"","166.32","22.4","30.9","185199.7","44431.5","136952.9","47420.3","6.61","2.21"
"","167.04","22.4","31.0","185506.6","44635.1","136916.4","47645.3","6.62","2.21"
"","167.76","22.5","31.1","185758.9","44919.4","136875.8","47920.7","6.64","2.21"
"","168.48","22.6","31.3","185887.4","45237.6","136845.3","48241.7","6.64","2.21"
"","169.20","22.7","31.4","185813.6","45517.7","136811.6","48594.7","6.64","2.21"
"","169.92","22.8","31.5","185489.5","45689.6","136767.2","48961.0","6.63","2.20"
"","170.64","22.8","31.7","184915.1","45695.3","136692.3","49300.2","6.61","2.19"
"","171.36","22.8","31.8","184134.3","45501.2","136559.6","49561.8","6.59","2.17"
"","172.08","22.8","31.9","183232.8","45130.5","136348.8","49706.8","6.57","2.14"
"","172.80","22.7","32.0","182341.0","44626.8","136061.7","49722.8","6.55","2.12"
"","173.52","22.6","32.0","181557.6","44070.5","135714.3","49635.3","6.54","2.10"
"","174.24","22.4","32.0","180959.3","43530.0","135326.0","49501.6","6.54","2.08"
"","174.96","22.3","32.0","180585.2","43090.0","134918.8","49399.7","6.54","2.06"
"","175.68","22.2","32.0","180448.3","42793.5","134523.3","49382.8","6.56","2.05"
"","176.40","22.1","32.1","180528.0","42667.2","134183.0","49475.6","6.58","2.04"
"","177.12","22.1","32.2","180789.4","42719.1","133952.6","49690.6","6.60","2.03"
"","177.84","22.2","32.4","181189.8","42916.8","133887.9","50033.0","6.62","2.03"
"","178.56","22.2","32.5","181678.5","43220.6","134027.4","50458.3","6.63","2.02"
"","179.28","22.3","32.7","182192.3","43597.9","134374.5","50936.8","6.63","2.02"
"","180.00","22.4","32.8","182683.1","44033.7","134887.8","51457.1","6.62","2.02"
"","180.72","22.6","32.9","183078.4","44535.8","135492.0","52004.9","6.61","2.02"
"","181.44","22.8","33.0","183317.3","45124.9","136116.8","52566.1","6.58","2.03"
"","182.16","23.0","33.2","183345.1","45819.3","136647.8","53139.3","6.56","2.04"
"","182.88","23.3","33.4","183134.4","46618.0","137013.9","53736.4","6.54","2.05"
"","183.60","23.7","33.6","182699.8","47491.2","137185.2","54323.8","6.51","2.06"
"","184.32","24.0","33.8","182087.2","48369.7","137159.6","54861.1","6.49","2.08"
"","185.04","24.3","33.9","181373.5","49154.4","136996.6","55305.5","6.47","2.10"
"","185.76","24.6","34.1","180637.5","49742.8","136717.0","55612.2","6.46","2.11"
"","186.48","24.8","34.2","179957.3","50029.6","136362.9","55765.6","6.45","2.12"
"","187.20","24.8","34.3","179413.1","49952.6","135993.8","55787.1","6.45","2.11"
"","187.92","24.7","34.3","179066.6","49525.7","135655.1","55729.4","6.45","2.10"
"","188.64","24.5","34.3","178932.0","48844.5","135372.5","55649.6","6.46","2.07"
"","189.36","24.2","34.3","179010.2","48054.1","135205.5","55592.2","6.47","2.04"
"","190.08","23.9","34.3","179248.5","47304.7","135151.3","55590.2","6.48","2.01"
"","190.80","23.7","34.3","179585.7","46709.4","135215.6","55648.8","6.49","1.98"
"","191.52","23.5","34.4","179956.3","46322.6","135379.4","55741.2","6.50","1.96"
"","192.24","23.4","34.3","180285.5","46138.8","135610.3","55824.5","6.50","1.95"
"","192.96","23.4","34.3","180510.7","46117.1","135859.5","55842.6","6.50","1.95"
"","193.68","23.4","34.3","180586.9","46210.0","136083.3","55766.5","6.49","1.96"
"","194.40","23.5","34.2","180523.2","46356.4","136252.4","55614.4","6.48","1.97"
"","195.12","23.5","34.1","180374.0","46500.2","136359.7","55433.5","6.47","1.98"
"","195.84","23.6","34.0","180228.4","46610.7","136420.8","55297.3","6.46","1.99"
"","196.56","23.6","34.0","180178.2","46668.8","136454.5","55309.0","6.46","1.99"
"","197.28","23.6","34.1","180303.6","46673.4","136472.0","55465.5","6.46","1.99"
